Date,Open,High,Low,Close,Adj Close,Volume
,RGTI,RGTI,RGTI,RGTI,RGTI,RGTI
2023-07-07,1.51,1.6,1.31,1.37,1.37,4979300
2023-07-10,1.4,1.49,1.36,1.48,1.48,2783800
2023-07-11,1.52,1.773,1.46,1.53,1.53,6869100
2023-07-12,1.64,1.75,1.55,1.74,1.74,5636300
2023-07-13,1.77,2.08,1.68,2.0,2.0,9014900
2023-07-14,2.0,2.04,1.75,1.76,1.76,6170800
2023-07-17,1.8,2.15,1.755,2.1,2.1,6671100
2023-07-18,2.1,2.4,1.945,2.21,2.21,11054100
2023-07-19,2.34,2.37,2.01,2.06,2.06,8016700
2023-07-20,1.995,2.045,1.86,1.89,1.89,5998800
2023-07-21,1.98,2.05,1.62,1.64,1.64,6302500
2023-07-24,1.67,1.77,1.58,1.72,1.72,3714600
2023-07-25,1.74,2.19,1.73,2.11,2.11,10815700
2023-07-26,2.08,2.12,1.92,1.97,1.97,7289700
2023-07-27,2.05,2.15,1.82,1.84,1.84,6909000
2023-07-28,1.93,2.29,1.88,2.2,2.2,9226000
2023-07-31,2.3,2.58,2.22,2.49,2.49,11693800
2023-08-01,2.87,3.43,2.42,3.25,3.25,27409000
2023-08-02,3.05,3.25,2.78,2.99,2.99,12437500
2023-08-03,2.85,3.25,2.68,2.73,2.73,10065500
2023-08-04,2.79,2.95,2.5,2.74,2.74,6995700
2023-08-07,2.77,2.845,2.19,2.32,2.32,8297000
2023-08-08,1.98,2.07,1.8,1.87,1.87,9890700
2023-08-09,1.91,1.91,1.6,1.65,1.65,6794500
2023-08-10,1.73,1.94,1.59,1.64,1.64,7494800
2023-08-11,1.91,2.75,1.87,2.28,2.28,79563200
2023-08-14,2.32,2.86,2.29,2.67,2.67,26596100
2023-08-15,2.6,2.6,2.12,2.24,2.24,16936600
2023-08-16,2.29,2.5,2.02,2.09,2.09,11280300
2023-08-17,2.05,2.09,1.8,1.97,1.97,8882800
2023-08-18,1.87,2.09,1.81,2.06,2.06,6805700
2023-08-21,2.04,2.075,1.88,2.02,2.02,6960200
2023-08-22,2.15,2.15,1.87,1.97,1.97,5751300
2023-08-23,1.91,2.04,1.89,1.97,1.97,5855600
2023-08-24,2.07,2.08,1.74,1.81,1.81,6979200
2023-08-25,1.81,1.83,1.68,1.74,1.74,4559700
2023-08-28,1.76,1.93,1.71,1.89,1.89,4775900
2023-08-29,1.86,1.96,1.77,1.86,1.86,6693800
2023-08-30,1.84,1.85,1.751,1.76,1.76,4106600
2023-08-31,1.75,1.83,1.75,1.8,1.8,3141800
2023-09-01,1.8,1.86,1.76,1.84,1.84,2564300
2023-09-05,1.82,2.13,1.78,2.03,2.03,8714700
2023-09-06,2.04,2.29,2.01,2.08,2.08,9094300
2023-09-07,2.01,2.01,1.77,1.93,1.93,5686300
2023-09-08,1.94,2.03,1.84,1.98,1.98,4617900
2023-09-11,1.98,2.129,1.93,2.03,2.03,5617400
2023-09-12,1.99,2.2,1.88,1.95,1.95,6762900
2023-09-13,2.0,2.11,1.945,2.0,2.0,3925000
2023-09-14,2.04,2.07,1.9,1.93,1.93,4078100
2023-09-15,1.93,1.96,1.83,1.86,1.86,4398100
2023-09-18,1.85,1.85,1.7,1.78,1.78,4928400
2023-09-19,1.86,1.88,1.77,1.79,1.79,3660800
